position_id,detector,underlying,signal_at,opened_at,closed_at,entry_cash,exit_cash,commission,pnl,predicted_edge,execution_edge,edge_capture,exit_reason
0,put_call_parity,LMT,2026-03-02 21:00:00+00:00,2026-03-04 14:30:00+00:00,2026-03-20 20:00:00+00:00,66941.17,-65500.0,1.9500000000000002,1439.2199999999982,318.9867634614012,1371.0067634613981,4.5118486559839655,expiry
1,put_call_parity,BA,2026-03-05 21:00:00+00:00,2026-03-09 13:30:00+00:00,2026-03-20 20:00:00+00:00,24125.03,-23750.0,1.9500000000000002,373.07999999999885,199.15020205479442,379.2802020547926,1.8733598869126389,expiry
2,butterfly,BA,2026-03-05 21:00:00+00:00,2026-03-09 13:30:00+00:00,2026-03-20 20:00:00+00:00,129.35000000000014,0.0,1.9500000000000002,127.40000000000013,197.24999999999991,127.4000000000001,0.6458808618504446,expiry
3,butterfly,LMT,2026-03-05 21:00:00+00:00,2026-03-09 13:30:00+00:00,2026-03-20 20:00:00+00:00,208.0350000000003,0.0,1.9500000000000002,206.08500000000032,187.97499999999985,206.08500000000043,1.0963425987498363,expiry
4,put_call_parity,LMT,2026-03-06 21:00:00+00:00,2026-03-09 13:30:00+00:00,2026-03-20 20:00:00+00:00,66134.24,-65500.0,1.9500000000000002,632.2900000000052,265.9540458647786,580.0240458647925,2.3774408016394157,expiry
5,butterfly,LMT,2026-03-06 21:00:00+00:00,2026-03-09 13:30:00+00:00,2026-03-20 20:00:00+00:00,23.23333333333335,0.0,1.9500000000000002,21.28333333333335,248.6299999999999,21.28333333333332,0.08560243467535437,expiry
7,monotonicity,LMT,2026-03-09 20:00:00+00:00,2026-03-11 13:30:00+00:00,2026-03-20 20:00:00+00:00,14.919999999999845,0.0,1.3,13.619999999999845,413.2000000000001,13.619999999999958,0.032962245885769216,expiry
6,monotonicity,LMT,2026-03-09 20:00:00+00:00,2026-03-11 13:30:00+00:00,2026-04-17 20:00:00+00:00,101.30999999999995,0.0,1.3,100.00999999999995,444.03999999999945,100.00999999999972,0.2252274569858573,expiry
8,put_call_parity,LMT,2026-03-10 20:00:00+00:00,2026-03-12 13:30:00+00:00,2026-04-17 20:00:00+00:00,-64602.50000000001,65500.0,1.9500000000000002,895.5499999999927,419.8851531181704,608.0251531181596,2.1328451205035903,expiry
9,put_call_parity,LMT,2026-03-13 20:00:00+00:00,2026-03-16 13:30:00+00:00,2026-04-17 20:00:00+00:00,-64692.8,65000.0,1.9500000000000002,305.2499999999971,390.7417807454246,42.54178074541706,0.7812064515283382,expiry
10,put_call_parity,BA,2026-03-20 20:00:00+00:00,2026-03-23 13:30:00+00:00,2026-04-17 20:00:00+00:00,22706.55,-22500.0,1.9500000000000002,204.59999999999928,127.46405479452052,213.73405479451975,1.6051584137177057,expiry
11,butterfly,LMT,2026-03-24 20:00:00+00:00,2026-03-26 13:30:00+00:00,2026-04-17 20:00:00+00:00,316.875,0.0,1.9500000000000002,314.925,34.86999999999998,314.92500000000007,9.03140235159163,expiry
12,put_call_parity,BA,2026-03-25 20:00:00+00:00,2026-03-27 13:30:00+00:00,2026-04-17 20:00:00+00:00,23577.010000000002,-23500.0,1.9500000000000002,75.06000000000203,90.58908219178203,82.9990821917847,0.8285766693286054,expiry
13,put_call_parity,LMT,2026-03-30 20:00:00+00:00,2026-04-01 13:30:00+00:00,2026-04-17 20:00:00+00:00,-64201.850000000006,65000.0,1.9500000000000002,796.1999999999941,205.55978819023844,661.7597881902432,3.8733256489987173,expiry
14,put_call_parity,BA,2026-04-01 20:00:00+00:00,2026-04-06 13:30:00+00:00,2026-05-15 20:00:00+00:00,-19172.07,19500.0,1.9500000000000002,325.9800000000003,160.1513726681947,227.98137266819612,2.035449303799432,expiry
15,butterfly,BA,2026-04-01 20:00:00+00:00,2026-04-06 13:30:00+00:00,2026-05-15 20:00:00+00:00,102.45000000000027,0.0,1.9500000000000002,100.50000000000027,89.27500000000002,100.50000000000038,1.125735088210588,expiry
16,put_call_parity,LMT,2026-04-02 20:00:00+00:00,2026-04-06 13:30:00+00:00,2026-04-17 20:00:00+00:00,-64697.1,65000.0,1.9500000000000002,300.95000000000147,47.971687121594,189.17168712159327,6.2734920962271445,expiry
17,put_call_parity,RTX,2026-04-02 20:00:00+00:00,2026-04-06 13:30:00+00:00,2026-04-17 20:00:00+00:00,-19460.28,19500.0,1.9500000000000002,37.77000000000116,12.761506136476608,5.391506136477983,2.9596819996067705,expiry
18,put_call_parity,LMT,2026-04-06 20:00:00+00:00,2026-04-08 13:30:00+00:00,2026-04-17 20:00:00+00:00,65068.98,-65000.0,1.9500000000000002,67.0300000000032,769.8479803159229,28.327980315926833,0.08706913795174999,expiry
19,monotonicity,LMT,2026-04-06 20:00:00+00:00,2026-04-08 13:30:00+00:00,2026-04-17 20:00:00+00:00,1000.8500000000004,500.0,1.3,1499.5500000000004,353.20000000000016,999.5500000000006,4.245611551528878,expiry
20,put_call_parity,LMT,2026-04-07 20:00:00+00:00,2026-04-09 13:30:00+00:00,2026-04-17 20:00:00+00:00,-64614.58,65000.0,1.9500000000000002,383.46999999999827,178.1091145410455,309.4791145410447,2.153006043447749,expiry
21,put_call_parity,LMT,2026-04-08 20:00:00+00:00,2026-04-10 13:30:00+00:00,2026-04-17 20:00:00+00:00,65470.68,-65000.0,1.9500000000000002,468.7300000000003,31.36834601863273,437.8483460186355,14.942770642786702,expiry
22,put_call_parity,BA,2026-04-13 20:00:00+00:00,2026-04-15 13:30:00+00:00,2026-05-15 20:00:00+00:00,19550.16,-19500.0,1.9500000000000002,48.20999999999985,18.84764383561456,59.597643835614875,2.557879405005633,expiry
23,butterfly,LMT,2026-04-15 20:00:00+00:00,2026-04-17 13:30:00+00:00,2026-05-15 20:00:00+00:00,118.24999999999977,0.0,1.9500000000000002,116.29999999999977,20.8499999999998,116.29999999999961,5.5779376498801385,expiry
24,butterfly,LMT,2026-04-15 20:00:00+00:00,2026-04-17 13:30:00+00:00,2026-05-15 20:00:00+00:00,96.88499999999999,0.0,1.9500000000000002,94.93499999999999,15.499999999999833,94.93499999999977,6.124838709677484,expiry
25,butterfly,BA,2026-04-16 20:00:00+00:00,2026-04-20 13:30:00+00:00,2026-05-15 20:00:00+00:00,103.36666666666679,-8.881784197001252e-14,1.9500000000000002,101.4166666666667,42.293333333333365,101.41666666666681,2.397935056746531,expiry
26,put_call_parity,BA,2026-04-16 20:00:00+00:00,2026-04-20 13:30:00+00:00,2026-05-15 20:00:00+00:00,-19317.22,19500.0,1.9500000000000002,180.82999999999885,36.26515587839289,116.74515587839342,4.986329042852371,expiry
27,butterfly,BA,2026-04-16 20:00:00+00:00,2026-04-20 13:30:00+00:00,2026-05-15 20:00:00+00:00,147.97500000000036,0.0,1.9500000000000002,146.02500000000038,31.014999999999734,146.02499999999998,4.708205706916061,expiry
28,put_call_parity,BA,2026-04-17 20:00:00+00:00,2026-04-20 13:30:00+00:00,2026-05-15 20:00:00+00:00,-19317.22,19500.0,1.9500000000000002,180.82999999999885,505.6581815153427,119.00818151534186,0.3576131201083159,expiry
31,monotonicity,LMT,2026-04-20 20:00:00+00:00,2026-04-22 13:30:00+00:00,2026-05-15 20:00:00+00:00,19.980000000000018,0.0,1.3,18.680000000000017,205.90999999999997,18.67999999999996,0.09071924627264348,expiry
29,butterfly,LMT,2026-04-20 20:00:00+00:00,2026-04-22 13:30:00+00:00,2026-05-15 20:00:00+00:00,64.42000000000002,0.0,1.9500000000000002,62.47000000000001,280.50500000000005,62.47000000000001,0.22270547762071977,expiry
